register_number,plan_ref,registration_date,app_type,outcome,decision,decision_date,applicant,proposal,overlap_pct,council_confirmed,planning_portal_url
VS-0748,4992/04,2004-10-14,Permission,Granted,GRANT PERMISSION,2004-12-08,Mr. P. Fitzgerald,provision of a 3-storey building (2-storey plus pl,95.5,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4992%2F04
VS-0748,4620/04,2004-09-17,Permission,Granted,APPLICATION DECLARED INVA,2004-10-01,Mr. P. Fitzgerald,demolition of anexisting lean-to extension to the,95.5,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4620%2F04
VS-0748,1005/01,2001-06-20,Permission,Granted,GRANT PERMISSION,2001-08-10,Board of Management,"Locate a standby generator and attenuation walls,",0.1,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=1005%2F01
VS-0748,0256/01,2001-02-05,Permission,Granted,GRANT PERMISSION,2001-03-28,The Board of Management,"12 Prefab offices, 2 meeting rooms, 2 staff changi",0.1,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=0256%2F01
VS-0748,2705/00,2000-08-17,Permission,Granted,GRANT PERMISSION,2000-10-12,"Sr. Una O'Neill,",Erect a new single storey Convent building with as,0.1,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2705%2F00
VS-0800,WEBLRD6063/25-S3,2025-05-09,Large Residential Development-3         ,Granted,GRANT PERMISSION         ,2025-07-03,Harley Issuer Designated Activity Compan,"We, Harley Issuer Designated Activity Company, intend to apply for a seven year",97.2,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=WEBLRD6063%2F25-S3
VS-0800,4852/22,2022-09-14,Permission,Granted,GRANT PERMISSION,2022-11-08,CPFM Limited,The development will consist of the construction o,1.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4852%2F22
VS-0800,4628/22,2022-08-05,Permission,Granted,APPLICATION DECLARED INVA,2022-08-15,CPFM Limited,Development will consist of the construction of a,1.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4628%2F22
VS-0800,3864/22,2022-04-29,Permission,Granted,APPLICATION DECLARED INVA,2022-06-14,CPFM Limited,The development will consist of the construction o,0.4,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3864%2F22
VS-0800,3789/22,2022-04-21,Permission,Granted,APPLICATION DECLARED INVA,2022-04-27,CPFM Limited,Planning permission for the development will consi,0.4,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3789%2F22
