derelict_site_reference_number,full_address,administrative_area_name,derelict_site_status,is_on_current_derelict_sites_register,is_active_derelict_site_case,is_on_current_record_of_protected_structures,is_owned_by_dublin_city_council,date_added_to_the_derelict_sites_register,most_recent_update_date,derelict_site_description,site_location_latitude,site_location_longitude
DS1247,58 Shelbourne Road Dublin 4 D04T2Y9,South East,On Derelict Sites Register,Yes,Yes,No,No,2025-12-05,16/07/2026,"Shelbourne Road, 58, Dublin 4",53.33571042,-6.232277086
DS2141,44 North Circular Road Dublin 7 D07Y6TE,Central,On Derelict Sites Register,Yes,Yes,No,No,2026-04-13,16/07/2026,"North Circular Road, 44, Dublin 7",53.3532867399,-6.295912472
DS1368,162 James's Street Dublin 8~|~163 James's Street Dublin 8~|~164 James's Street Dublin 8~|~165 James's Street Dublin 8,South Central,On Derelict Sites Register,Yes,Yes,Yes,No,2019-06-17,16/07/2026,"James's Street, 162-165, Dublin 8 (163 Protected)",53.3427750193,-6.2936399609
DS1281,No Address,South East,On Derelict Sites Register,Yes,Yes,No,No,2023-06-26,16/07/2026,"Brickfield Drive, site beside 2, Crumlin, Dublin 12",53.3293649699,-6.302649871
DS2034,531 Carnlough Road Dublin 7 D07F2V9,Central,On Derelict Sites Register,Yes,Yes,No,No,2025-01-14,16/07/2026,"Carnlough Road, 531, Cabra, Dublin 7",53.3708821,-6.299796033
DS1999,Unit 1 124 Emmet Road Dublin 8 D08V085,South Central,On Derelict Sites Register,Yes,Yes,No,No,2025-04-11,16/07/2026,"Emmet Road, 124, Unit 1, Inchicore, Dublin 8",53.3393401855,-6.3193348588
DS1655,"88 Parnell Street, Dublin 1",Central,On Derelict Sites Register,Yes,Yes,No,No,2026-04-14,16/07/2026,"Parnell Street, 88, Dublin 1",53.353003758,-6.2600634861
DS843,48 Pleasants Street Dublin 8 D08K0T3,South East,On Derelict Sites Register,Yes,Yes,No,No,2022-10-14,16/07/2026,"Pleasants Street, 48, Dublin 8",53.33550321,-6.266053533
DS1581,"646 South Circular Road, Dublin 8~|~648 South Circular Road, Dublin 8, D08 XDK4",South Central,On Derelict Sites Register,Yes,Yes,No,No,2024-07-09,16/07/2026,"South Circular Road, 646-648, Kilmainham, Dublin 8",53.3392699536,-6.3035192077
DS1789,113/114 TOWNSEND STREET DUBLIN 2 D02X956  ~|~112 Townsend Street Dublin 2,South East,On Derelict Sites Register,Yes,Yes,No,No,2024-06-25,16/07/2026,"Townsend Street, 112-114, Dublin 2",53.34544565,-6.2488633
DS868,6 Rowserstown Lane Dublin 8,South Central,On Derelict Sites Register,Yes,Yes,No,No,2014-09-10,16/07/2026,"Rowserstown Lane, 6 (a.k.a. 6 High Road), Kilmainham, Dublin 8",53.3416458153,-6.3040179436
DS2196,40 WATLING STREET DUBLIN 8 D08X7Y2  ,South Central,On Derelict Sites Register,Yes,Yes,No,No,2025-12-01,16/07/2026,"Watling Street, 40, The Liberties, Dublin 8",53.3463603399,-6.284349439
DS1772,5 Langrishe Place Dublin 1 D01R8E8 ,Central,On Derelict Sites Register,Yes,Yes,No,No,2024-11-14,16/07/2026,"Langrishe Place, 5, Summerhill, Dublin 1",53.3549521499,-6.2561394769
DS2163,    Bealnagown Saint Mobhi Boithirin  Dublin 9 D09K5X2,Central,On Derelict Sites Register,Yes,Yes,Yes,No,2026-06-02,16/07/2026,"Saint Mobhi Boithirin, Balnagowan House, Glasnevin, D9",53.37677954,-6.266374278
DS1753,231 South Circular Road Dublin 8 D08E6HH,South Central,On Derelict Sites Register,Yes,Yes,No,No,2025-07-09,16/07/2026,"South Circular Road, 231, Dublin 8",53.3317156399,-6.285477809
DS1662,487 Blackhorse Avenue Dublin 7 D07N6V2,Central,On Derelict Sites Register,Yes,Yes,No,No,2025-09-02,16/07/2026,"Blackhorse Avenue, 487, Ashtown, Dublin 7",53.365447,-6.320600183
DS1916,20 Faith Avenue Dublin 3 D03PP21,Central,On Derelict Sites Register,Yes,Yes,No,No,2024-07-23,16/07/2026,"Faith Avenue, 20, Dublin 3",53.35855493,-6.2368559579
DS1122,44 Dolphin's Barn Street Dublin 8,South Central,On Derelict Sites Register,Yes,Yes,No,No,2021-05-25,16/07/2026,"Dolphin's Barn Street, 44, Dublin 8",53.3349251863,-6.2900181934
DS1124,46 Dolphin's Barn Street Dublin 8,South Central,On Derelict Sites Register,Yes,Yes,No,No,2021-05-25,16/07/2026,"Dolphin's Barn Street, 46, Dublin 8",53.3350202924,-6.2899767403
