parcel_id,zone_gzt,zone_orig,zone_desc,site_area_ha,date_added,former_vacant_sites
DCC000064312,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.121,2025-01-01,
DCC000064313,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.02,2025-01-01,
DCC000064315,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.25,2025-01-01,
DCC000064351,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.192,2022-01-01,
DCC000064381,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.07,2025-01-01,
DCC000064382,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.026,2025-01-01,
DCC000064383,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.011,2025-01-01,
DCC000064384,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.026,2025-01-01,
DCC000064385,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.011,2025-01-01,
DCC000064386,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.033,2025-01-01,
DCC000064387,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.015,2025-01-01,
DCC000064388,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.02,2025-01-01,
DCC000064389,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.01,2025-01-01,
DCC000064390,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.035,2025-01-01,
DCC000064391,M2,Z5 - City Centre,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",0.028,2025-01-01,
DCC000064392,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.024,2025-01-01,
DCC000064393,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.087,2025-01-01,
DCC000064394,M3,Z3 - Neighbourhood Centres,To provide for and improve neighbourhood facilities.,0.037,2025-01-01,
DCC000064395,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.009,2025-01-01,
DCC000064396,R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",0.518,2025-01-01,
DCC000064397,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.091,2025-01-01,
DCC000064398,M3,Z4 - Key Urban Villages/Urban Villages,To provide for and improve mixed-services facilities.,0.045,2025-01-01,
DCC000064399,M1,Z10 - Inner Suburban and Inner City Sustainable Mixed-Uses,To consolidate and facilitate the development of inner city and inner suburban sites for mixed-uses.,0.747,2025-01-01,
